|6.6.6
project/DW/DW_1.tab                                                                                 
           1
P(bar)  
   6.9127692053006575E-310
   6.9127692053006575E-310
 -1144756159
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  29160.0        1111.15        3602.43        23.1931                 NaN            NaN            NaN            NaN   13.3664        45.6081                 NaN   17.8325        5.87172        7.69589        4.30839     
  29280.0        1114.20        3602.48        23.1934                 NaN            NaN            NaN            NaN   13.3665        45.6073                 NaN   17.8329        5.87180        7.69549        4.30777     
  29400.0        1117.25        3602.53        23.1937                 NaN            NaN            NaN            NaN   13.3665        45.6065                 NaN   17.8333        5.87188        7.69510        4.30716     
  29520.0        1120.30        3602.58        23.1940                 NaN            NaN            NaN            NaN   13.3666        45.6057                 NaN   17.8337        5.87196        7.69470        4.30654     
  29640.0        1123.35        3602.11        23.1922                 NaN            NaN            NaN            NaN   13.2135        45.7552                 NaN   17.8391        5.87201        7.69319        4.30448     
  29760.0        1126.40        3602.17        23.1925                 NaN            NaN            NaN            NaN   13.2136        45.7545                 NaN   17.8395        5.87209        7.69280        4.30387     
  29880.0        1129.45        3602.22        23.1928                 NaN            NaN            NaN            NaN   13.2137        45.7537                 NaN   17.8399        5.87217        7.69240        4.30326     
  30000.0        1132.50        3602.27        23.1931                 NaN            NaN            NaN            NaN   13.2138        45.7529                 NaN   17.8403        5.87225        7.69200        4.30264     
  30120.0        1135.55        3602.32        23.1934                 NaN            NaN            NaN            NaN   13.2138        45.7521                 NaN   17.8407        5.87232        7.69161        4.30203     
  30240.0        1138.60        3602.37        23.1937                 NaN            NaN            NaN            NaN   13.2139        45.7513                 NaN   17.8411        5.87241        7.69121        4.30141     
  30360.0        1141.65        3602.42        23.1940                 NaN            NaN            NaN            NaN   13.2140        45.7505                 NaN   17.8415        5.87248        7.69081        4.30080     
  30480.0        1144.70        3602.47        23.1944                 NaN            NaN            NaN            NaN   13.2140        45.7497                 NaN   17.8419        5.87256        7.69041        4.30019     
  30600.0        1147.75        3602.52        23.1947                 NaN            NaN            NaN            NaN   13.2141        45.7489                 NaN   17.8423        5.87264        7.69001        4.29957     
  30720.0        1150.80        3602.58        23.1950                 NaN            NaN            NaN            NaN   13.2142        45.7481                 NaN   17.8427        5.87272        7.68962        4.29895     
  30840.0        1153.85        3602.63        23.1953                 NaN            NaN            NaN            NaN   13.2142        45.7473                 NaN   17.8431        5.87280        7.68922        4.29834     
  30960.0        1156.90        3602.68        23.1956                 NaN            NaN            NaN            NaN   13.2143        45.7465                 NaN   17.8435        5.87288        7.68882        4.29772     
  31080.0        1159.95        3602.73        23.1959                 NaN            NaN            NaN            NaN   13.2144        45.7458                 NaN   17.8439        5.87296        7.68842        4.29711     
  31200.0        1163.00        3602.78        23.1962                 NaN            NaN            NaN            NaN   13.2145        45.7450                 NaN   17.8443        5.87304        7.68802        4.29649     
  31320.0        1166.05        3602.46        23.1937                 NaN            NaN            NaN            NaN   13.1803        45.7856                 NaN   17.8404        5.87296        7.68656        4.29461     
  31440.0        1169.10        3602.51        23.1940                 NaN            NaN            NaN            NaN   13.1804        45.7848                 NaN   17.8408        5.87304        7.68617        4.29400     
  31560.0        1172.15        3602.56        23.1943                 NaN            NaN            NaN            NaN   13.1804        45.7840                 NaN   17.8412        5.87312        7.68577        4.29338     
  31680.0        1175.20        3602.61        23.1946                 NaN            NaN            NaN            NaN   13.1805        45.7832                 NaN   17.8416        5.87320        7.68537        4.29277     
  31800.0        1178.25        3602.66        23.1949                 NaN            NaN            NaN            NaN   13.1806        45.7824                 NaN   17.8421        5.87328        7.68497        4.29215     
  31920.0        1181.30        3602.72        23.1953                 NaN            NaN            NaN            NaN   13.1807        45.7816                 NaN   17.8425        5.87336        7.68458        4.29154     
  32040.0        1184.35        3602.77        23.1956                 NaN            NaN            NaN            NaN   13.1807        45.7808                 NaN   17.8429        5.87344        7.68418        4.29092     
  32160.0        1187.40        3602.81        23.1985                 NaN            NaN            NaN            NaN   13.1838        45.7637                 NaN   17.8539        5.87382        7.68399        4.29028     
  32280.0        1190.45        3602.86        23.1988                 NaN            NaN            NaN            NaN   13.1839        45.7629                 NaN   17.8544        5.87390        7.68360        4.28966     
  32400.0        1193.50        3603.06        23.2007                 NaN            NaN            NaN            NaN   13.2692        45.6650                 NaN   17.8650        5.87423        7.68361        4.28935     
  32520.0        1196.55        3603.11        23.2011                 NaN            NaN            NaN            NaN   13.2693        45.6642                 NaN   17.8654        5.87430        7.68321        4.28873     
  32640.0        1199.60        3603.05        23.2003                 NaN            NaN            NaN            NaN   13.2189        45.7151                 NaN   17.8658        5.87432        7.68256        4.28784     
  32760.0        1202.65        3603.10        23.2006                 NaN            NaN            NaN            NaN   13.2189        45.7143                 NaN   17.8662        5.87440        7.68216        4.28722     
  32880.0        1205.70        3603.11        23.2000                 NaN            NaN            NaN            NaN   13.2105        45.7196                 NaN   17.8699        5.87448        7.68164        4.28644     
  33000.0        1208.75        3603.14        23.2011                 NaN            NaN            NaN            NaN   13.1867        45.7365                 NaN   17.8756        5.87467        7.68131        4.28580     
